sn,item_id,link,product_name,category,designer,price,old_price,sellable_online,other_colors,short_description,dimension,depth,height,width
3279,9188979,https://www.ikea.com/sa/en/p/besta-tv-bench-black-brown-lappviken-sindvik-lappviken-black-brown-clear-glass-s09188979/,BESTÅ,TV & media furniture,IKEA of Sweden/Marcus Arvonen,1090,No old price,TRUE,Yes,TV bench,180x40x48 cm,40,48,180
3280,9208029,https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-white-lappviken-sindvik-white-clear-glass-s09208029/,BESTÅ,TV & media furniture,IKEA of Sweden/Marcus Arvonen,1650,No old price,TRUE,Yes,Storage combination with doors,180x42x112 cm,42,112,180
3281,9265883,https://www.ikea.com/sa/en/p/havsta-tv-storage-combination-grey-s09265883/,HAVSTA,TV & media furniture,IKEA of Sweden,1690,No old price,TRUE,Yes,TV storage combination,241x47x89 cm,47,89,241
3282,9301664,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-black-brown-notviken-grey-green-clear-glass-s09301664/,BESTÅ,TV & media furniture,IKEA of Sweden/Marcus Arvonen,2980,No old price,TRUE,Yes,TV storage combination/glass doors,240x42x230 cm,42,230,240
3283,9305068,https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-white-kallviken-stubbarp-concrete-effect-s09305068/,BESTÅ,TV & media furniture,IKEA of Sweden,1390,No old price,TRUE,Yes,Storage combination with doors,120x42x202 cm,42,202,120
3284,9305247,https://www.ikea.com/sa/en/p/platsa-tv-bench-white-s09305247/,PLATSA,TV & media furniture,IKEA of Sweden,307,SR 310,TRUE,No,TV bench,120x42x44 cm,42,44,120
3285,10245846,https://www.ikea.com/sa/en/p/besta-frame-white-10245846/,BESTÅ,TV & media furniture,IKEA of Sweden,225,No old price,TRUE,Yes,Frame,120x40x64 cm,40,64,120
3286,10251451,https://www.ikea.com/sa/en/p/ikea-ps-cabinet-white-10251451/,IKEA PS,TV & media furniture,Nicholai Wiig Hansen,425,No old price,TRUE,No,Cabinet,119x63 cm,40,63,119
3287,10273090,https://www.ikea.com/sa/en/p/moellarp-knob-black-10273090/,MÖLLARP,TV & media furniture,K Hagberg/M Hagberg,12,No old price,TRUE,No,Knob,14 mm,25,,
3288,10291678,https://www.ikea.com/sa/en/p/lappviken-drawer-front-white-10291678/,LAPPVIKEN,TV & media furniture,IKEA of Sweden,45,No old price,TRUE,Yes,Drawer front,60x26 cm,,26,60
